horizon_sessions,factor,factor_label,factor_type,target,version,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_bottom_spread,period_count
20,risk_market_beta_60d,60日沪深300 Beta,风险因子,回撤风险,中性化,0.04584027377732508,0.3266551543674356,0.6705882352941176,0.007538340517136102,85
20,risk_healthcare_beta_60d,60日医疗板块Beta,风险因子,回撤风险,原始,0.17941165165992157,0.8988167155216535,0.8588235294117647,0.03196044551707955,85
20,risk_healthcare_beta_60d,60日医疗板块Beta,风险因子,回撤风险,中性化,0.1286574262095667,0.9965289317475396,0.8705882352941177,0.026462827494351776,85
20,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,风险因子,回撤风险,原始,0.22647217394769137,1.6932962751594616,0.9411764705882353,0.04435249687133576,85
20,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,风险因子,回撤风险,中性化,0.16234473927815798,1.6005683679937928,0.9411764705882353,0.026563331701440637,85
20,risk_gap_extreme_down_60d,跳空与极端下跌风险,风险因子,回撤风险,原始,0.18311547776112846,1.072212039633035,0.8823529411764706,0.03712602468566131,85
20,risk_gap_extreme_down_60d,跳空与极端下跌风险,风险因子,回撤风险,中性化,0.13683437285828237,1.1726712395045755,0.9058823529411765,0.024288443727933103,85
20,risk_crowding_quarter_change,拥挤度季度变化,风险因子,回撤风险,原始,0.10754456870730619,0.6945079254259288,0.7529411764705882,0.023009667366075792,85
20,risk_crowding_quarter_change,拥挤度季度变化,风险因子,回撤风险,中性化,0.09749029954470002,0.8845891271880847,0.8235294117647058,0.021993751240313553,85
20,risk_intraday_atr_20d,20日日内振幅/ATR,风险因子,回撤风险,原始,0.3032425732403642,1.5606860603034458,0.9294117647058824,0.06117579115706553,85
20,risk_intraday_atr_20d,20日日内振幅/ATR,风险因子,回撤风险,中性化,0.2505884427962259,1.9378118695588407,0.9764705882352941,0.05261407831910442,85
60,trend_5d,5日趋势,收益因子,收益,原始,0.003923662656814757,0.022257350109654597,0.4642857142857143,-0.008645615067804676,28
60,trend_5d,5日趋势,收益因子,收益,中性化,0.003194328906046403,0.030400823599955457,0.5357142857142857,0.00014768037170526452,28
60,trend_20d,20日趋势,收益因子,收益,原始,-0.029562757956023106,-0.1554850895098746,0.35714285714285715,-0.015275503488824617,28
60,trend_20d,20日趋势,收益因子,收益,中性化,-0.005357324021131537,-0.039840141581253076,0.5,-0.009589227002634614,28
60,trend_60_ex_20,60日剔除近20日趋势,收益因子,收益,原始,-0.012783620674505964,-0.09358794274640744,0.42857142857142855,0.0007921939805857932,28
60,trend_60_ex_20,60日剔除近20日趋势,收益因子,收益,中性化,-0.001913872731025968,-0.017691332351716813,0.42857142857142855,0.010284633351710312,28
60,trend_120_ex_20,120日剔除近20日趋势,收益因子,收益,原始,0.004641999455938432,0.029571852844933216,0.4642857142857143,0.016377905142576255,28
60,trend_120_ex_20,120日剔除近20日趋势,收益因子,收益,中性化,0.01467809301361613,0.14799721686711073,0.4642857142857143,0.025036309262003623,28
60,value_bp,账面市值比（BP）,收益因子,收益,原始,0.07399584117995159,0.3174654102085614,0.5714285714285714,0.01628623587330642,28
60,value_bp,账面市值比（BP）,收益因子,收益,中性化,0.016153238462177123,0.1361720474477064,0.42857142857142855,-0.0032166549094177557,28
60,value_ep,盈利收益率（EP）,收益因子,收益,原始,0.03460981663003902,0.2009412357142623,0.6428571428571429,0.0042642114984265565,28
60,value_ep,盈利收益率（EP）,收益因子,收益,中性化,0.012952664846636546,0.1384668775875352,0.5357142857142857,0.0039283104881167805,28
60,liquidity_turnover_20d,20日平均换手率,收益因子,收益,原始,-0.08538286687663321,-0.5330704465799245,0.2857142857142857,-0.04038202580358185,28
60,liquidity_turnover_20d,20日平均换手率,收益因子,收益,中性化,-0.05289072089056599,-0.6140473353683519,0.2857142857142857,-0.01932939472715285,28
60,crowding_max_return_20d,20日最大单日涨幅,收益因子,收益,原始,-0.09230295934231413,-0.5603906999395525,0.25,-0.011200163022226699,28
60,crowding_max_return_20d,20日最大单日涨幅,收益因子,收益,中性化,-0.01908779658948542,-0.24852982847420765,0.39285714285714285,-0.00738924161477587,28
