ts_code,entry_date,market_regime,predicted_relative_return,return_model_score,horizon_sessions,healthcare_benchmark,model
301580.SZ,2026-07-20,医疗独立行情,-0.0031453343788932237,1.6129032258064515,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301584.SZ,2026-07-20,医疗独立行情,0.00034122716252104284,60.967741935483865,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
301602.SZ,2026-07-20,医疗独立行情,0.00013033100378988667,51.61290322580645,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600055.SH,2026-07-20,医疗独立行情,0.0003618517384351837,62.58064516129033,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600056.SH,2026-07-20,医疗独立行情,-7.08798395949326e-05,40.32258064516129,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600062.SH,2026-07-20,医疗独立行情,-3.113033074732541e-05,42.58064516129032,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600079.SH,2026-07-20,医疗独立行情,-6.435871044052894e-05,40.64516129032258,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600085.SH,2026-07-20,医疗独立行情,-0.0008474901203832468,16.451612903225808,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600129.SH,2026-07-20,医疗独立行情,-0.0009437973672280135,14.838709677419354,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600161.SH,2026-07-20,医疗独立行情,-0.0005032125371327613,24.838709677419356,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600196.SH,2026-07-20,医疗独立行情,0.00016237619780280204,53.5483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600201.SH,2026-07-20,医疗独立行情,0.00035422175833673753,61.935483870967744,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600211.SH,2026-07-20,医疗独立行情,0.0009065127445359494,83.54838709677419,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600216.SH,2026-07-20,医疗独立行情,-0.0004706928156699441,26.7741935483871,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600252.SH,2026-07-20,医疗独立行情,-0.00020173639697815813,33.87096774193548,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600267.SH,2026-07-20,医疗独立行情,0.00011201473457135623,50.967741935483865,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600276.SH,2026-07-20,医疗独立行情,0.0008335491230228888,82.25806451612904,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600285.SH,2026-07-20,医疗独立行情,-0.00018781451106197704,34.516129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600299.SH,2026-07-20,医疗独立行情,-0.0014694540460605794,7.419354838709677,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600329.SH,2026-07-20,医疗独立行情,0.0004282813222352402,64.83870967741936,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600332.SH,2026-07-20,医疗独立行情,-0.00019731730250818972,34.193548387096776,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600380.SH,2026-07-20,医疗独立行情,0.00028349665175040234,58.387096774193544,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600420.SH,2026-07-20,医疗独立行情,-2.0057637729095285e-05,43.225806451612904,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600422.SH,2026-07-20,医疗独立行情,-0.001304206289514418,9.032258064516128,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600436.SH,2026-07-20,医疗独立行情,-0.0019713888915685166,4.838709677419355,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600488.SH,2026-07-20,医疗独立行情,-0.0015744039092427016,6.451612903225806,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600511.SH,2026-07-20,医疗独立行情,0.0005158610983944722,70.3225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600513.SH,2026-07-20,医疗独立行情,0.001298633934228963,93.2258064516129,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600518.SH,2026-07-20,医疗独立行情,4.142219096746499e-05,47.096774193548384,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600521.SH,2026-07-20,医疗独立行情,0.0003462060639402659,61.29032258064516,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600529.SH,2026-07-20,医疗独立行情,0.0009154689860158491,84.51612903225806,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600535.SH,2026-07-20,医疗独立行情,-9.716670679627113e-05,39.35483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600557.SH,2026-07-20,医疗独立行情,-0.00031350076086454235,30.0,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600566.SH,2026-07-20,医疗独立行情,2.1421592417060558e-05,45.16129032258064,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600572.SH,2026-07-20,医疗独立行情,0.0007310533506234052,78.38709677419354,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600587.SH,2026-07-20,医疗独立行情,-0.0006342349447442002,20.0,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600645.SH,2026-07-20,医疗独立行情,0.0001736768209612716,54.19354838709678,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600664.SH,2026-07-20,医疗独立行情,-0.0031643954943868496,1.2903225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
600713.SH,2026-07-20,医疗独立行情,0.0006623200400052869,76.45161290322581,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
