horizon_sessions,test_year,model,factor,factor_label,coefficient
20,2026,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0006962177769025701
20,2026,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.0003521160836839818
20,2026,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.001286038036591493
20,2026,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.0007518087555863309
20,2026,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0014906775818337337
20,2026,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.010220727179131197
60,2023,收益模型,trend_5d,5日趋势,0.00811701727691962
60,2023,收益模型,trend_20d,20日趋势,-0.006747781628612147
60,2023,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.011816614842287717
60,2023,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.012930536139879842
60,2023,收益模型,value_bp,账面市值比（BP）,0.0010882847045611602
60,2023,收益模型,value_ep,盈利收益率（EP）,-0.0030336323607976314
60,2023,收益模型,liquidity_turnover_20d,20日平均换手率,-0.006476648607479167
60,2023,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.0121830710375302
60,2023,基础回撤模型,risk_volatility_20d,20日波动率风险,0.0009761526100832738
60,2023,基础回撤模型,risk_volatility_60d,60日波动率风险,0.016660869359803026
60,2023,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0029930993840368817
60,2023,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.0058535751440752775
60,2023,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.003011408946733284
60,2023,增强回撤模型,risk_volatility_60d,60日波动率风险,0.017747028029764418
60,2023,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0012391125112415583
60,2023,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.00738471908839131
60,2023,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.006679613732377214
60,2023,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.0015999447320699594
60,2023,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,0.0006351486373456857
60,2023,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.010092333866276393
60,2023,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0012381490374366352
60,2023,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.0008234852681836448
60,2023,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.001878669677565105
60,2023,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.001707174665556058
60,2023,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0022311824904000816
60,2023,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.005907647126645925
60,2024,收益模型,trend_5d,5日趋势,0.005083796753799951
60,2024,收益模型,trend_20d,20日趋势,-0.00295248729372032
60,2024,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.008398642078643452
60,2024,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.012757807982493104
60,2024,收益模型,value_bp,账面市值比（BP）,0.001719423085246956
60,2024,收益模型,value_ep,盈利收益率（EP）,-0.0022452878564707996
60,2024,收益模型,liquidity_turnover_20d,20日平均换手率,-0.007676807191247152
60,2024,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.007144536467249742
60,2024,基础回撤模型,risk_volatility_20d,20日波动率风险,0.004778515228188384
60,2024,基础回撤模型,risk_volatility_60d,60日波动率风险,0.014449467809060102
60,2024,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.00154961963104667
60,2024,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.00461319882240028
60,2024,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.003547249569009715
60,2024,增强回撤模型,risk_volatility_60d,60日波动率风险,0.01292154159719241
60,2024,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,0.00045827220956749223
60,2024,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.006405282981290622
60,2024,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.0025626607326198355
60,2024,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.00414918264637099
60,2024,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0009487579596719679
60,2024,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.006381924243232413
60,2024,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0003692362296833299
60,2024,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.0002450429157476269
